date,institutional,other,individual,foreign,total,ticker
2017.7.31,-13318479850,3063329250,54772476150,-44517325550,0,012450
2017.8.31,-7109880900,-549885500,50630146600,-42970380200,0,012450
2017.9.30,-29965953950,1856264600,39042493400,-10932804050,0,012450
2017.10.31,2668554650,1723797550,-2234565550,-2157786650,0,012450
2017.11.30,-5872792900,-1991532150,27945840450,-20081515400,0,012450
2017.12.31,-2278995250,585189750,20260691550,-18566886050,0,012450
2018.1.31,-12340223750,2822607350,62041799650,-52524183250,0,012450
2018.2.28,-264317900,-1566091350,41720333150,-39889923900,0,012450
2018.3.31,14223923600,9008426700,-12314978150,-10917372150,0,012450
2018.4.30,-13499126900,205778550,25195332700,-11901984350,0,012450
2018.5.31,89283336050,7586084650,-96963246000,93825300,0,012450
2018.6.30,-6675282000,288838350,14019645900,-7633202250,0,012450
2018.7.31,-5296516200,725364050,19971899800,-15400747650,0,012450
2018.8.31,3855303900,-551898850,-9662040050,6358635000,0,012450
2018.9.30,14169638750,-1179041900,-12393186850,-597410000,0,012450
2018.10.31,33226173500,-450379300,-55739149350,22963355150,0,012450
2018.11.30,541873900,-814852500,-53098368950,53371347550,0,012450
2018.12.31,12123246050,68483700,-17464268950,5272539200,0,012450
2019.1.31,-11553229000,-7238000,-5075848500,16636315500,0,012450
2019.2.28,14616459000,703263700,-19539503150,4219780450,0,012450
2019.3.31,13872981200,8065654550,-28808615750,6869980000,0,012450
2019.4.30,-20877870150,1391958250,37299410950,-17813499050,0,012450
2019.5.31,11734659950,4982750550,-17151831600,434421100,0,012450
2019.6.30,12289945950,-2818550,-21118451550,8831324150,0,012450
2019.7.31,9809266500,91464900,-13111257000,3210525600,0,012450
