date,market_cap,volume,trading_value,shares,ticker
2017.4.30,5.94354E+12,56412934,4.96905E+11,666316408,006800
2017.5.31,6.33001E+12,78416991,7.43707E+11,666316408,006800
2017.6.30,7.3628E+12,158142650,1.63885E+12,666316408,006800
2017.7.31,7.22953E+12,71201263,7.91603E+11,666316408,006800
2017.8.31,6.76311E+12,56359396,5.86855E+11,666316408,006800
2017.9.30,6.54989E+12,52139633,5.2402E+11,666316408,006800
2017.10.31,6.76311E+12,49274694,5.11556E+11,666316408,006800
2017.11.30,6.82974E+12,82503483,8.67034E+11,666316408,006800
2017.12.31,6.12345E+12,80983382,7.98204E+11,666316408,006800
2018.1.31,7.49606E+12,88210527,9.02929E+11,666316408,006800
2018.2.28,6.18342E+12,65576585,6.52369E+11,666316408,006800
2018.3.31,6.14344E+12,59423846,5.56136E+11,666316408,006800
2018.4.30,6.51657E+12,58248796,5.38634E+11,666316408,006800
2018.5.31,6.26337E+12,60344671,5.88733E+11,666316408,006800
2018.6.30,5.60886E+12,44341573,3.99334E+11,658316408,006800
2018.7.31,5.3587E+12,37156972,3.02127E+11,658316408,006800
2018.8.31,5.41136E+12,34291087,2.73445E+11,658316408,006800
2018.9.30,5.57594E+12,24015899,1.9822E+11,658316408,006800
2018.10.31,4.23297E+12,45044758,3.2021E+11,658316408,006800
2018.11.30,4.68721E+12,55847834,3.86812E+11,658316408,006800
2018.12.31,4.29881E+12,36061959,2.48206E+11,658316408,006800
2019.1.31,4.99662E+12,48334061,3.41818E+11,658316408,006800
2019.2.28,4.97687E+12,26920941,2.03699E+11,658316408,006800
2019.3.31,4.82546E+12,29477021,2.20329E+11,658316408,006800
2019.4.30,5.13487E+12,35402624,2.7664E+11,658316408,006800
2019.5.31,4.91104E+12,30485812,2.26028E+11,658316408,006800
2019.6.30,5.38503E+12,32131147,2.53898E+11,658316408,006800
2019.7.31,4.96371E+12,26206785,2.07722E+11,658316408,006800
2019.8.31,4.89787E+12,28827125,2.08264E+11,658316408,006800
2019.9.30,4.93737E+12,21290939,1.59953E+11,658316408,006800
2019.10.31,4.70696E+12,22272083,1.62047E+11,658316408,006800
2019.11.30,4.75963E+12,29728654,2.18668E+11,658316408,006800
2019.12.31,4.97029E+12,29229600,2.2141E+11,658316408,006800
2020.1.31,4.5358E+12,37588340,2.79485E+11,658316408,006800
2020.2.29,4.17373E+12,37568972,2.55498E+11,658316408,006800
2020.3.31,3.46933E+12,101837132,5.01327E+11,658316408,006800
2020.4.30,3.69316E+12,84109483,4.38517E+11,658316408,006800
2020.5.31,4.06181E+12,69980567,4.06656E+11,658316408,006800
2020.6.30,4.30426E+12,91305168,6.21427E+11,645316408,006800
2020.7.31,5.09155E+12,71065634,5.31508E+11,645316408,006800
2020.8.31,6.00144E+12,99376453,9.11866E+11,645316408,006800
2020.9.30,5.47228E+12,57854023,5.30052E+11,645316408,006800
2020.10.31,5.4013E+12,33298061,2.85832E+11,645316408,006800
2020.11.30,6.1176E+12,55877676,5.30368E+11,645316408,006800
